threshold,precision,recall,cost
0.0,0.0208,1.0,1293820
0.01,0.9985,0.9956,12040
0.02,0.9985,0.9956,12040
0.03,0.9985,0.9956,12040
0.04,0.9985,0.9956,12040
0.05,0.9985,0.9956,12040
0.06,0.9985,0.9956,12040
0.07,0.9985,0.9956,12040
0.08,0.9985,0.9956,12040
0.09,0.9985,0.9956,12040
0.1,0.9985,0.9956,12040
0.11,0.9985,0.9956,12040
0.12,0.9985,0.9956,12040
0.13,0.9985,0.9956,12040
0.14,0.9985,0.9956,12040
0.15,0.9985,0.9956,12040
0.16,0.9985,0.9956,12040
0.17,0.9985,0.9956,12040
0.18,0.9985,0.9956,12040
0.19,0.9985,0.9956,12040
0.2,0.9985,0.9956,12040
0.21,0.9985,0.9956,12040
0.22,0.9985,0.9956,12040
0.23,0.9985,0.9956,12040
0.24,0.9985,0.9956,12040
0.25,0.9985,0.9956,12040
0.26,0.9985,0.9956,12040
0.27,0.9985,0.9956,12040
0.28,0.9985,0.9956,12040
0.29,0.9985,0.9956,12040
0.3,0.9985,0.9956,12040
0.31,0.9985,0.9956,12040
0.32,0.9985,0.9956,12040
0.33,0.9985,0.9956,12040
0.34,0.9985,0.9956,12040
0.35,0.9985,0.9956,12040
0.36,0.9985,0.9956,12040
0.37,0.9985,0.9956,12040
0.38,0.9985,0.9956,12040
0.39,0.9985,0.9956,12040
0.4,0.9985,0.9956,12040
0.41,0.9989,0.9949,14030
0.42,0.9989,0.9949,14030
0.43,0.9989,0.9949,14030
0.44,0.9989,0.9949,14030
0.45,0.9989,0.9949,14030
0.46,0.9989,0.9949,14030
0.47,0.9989,0.9949,14030
0.48,0.9989,0.9949,14030
0.49,0.9989,0.9949,14030
0.5,0.9989,0.9949,14030
0.51,0.9989,0.9935,18030
0.52,0.9989,0.9935,18030
0.53,0.9989,0.9935,18030
0.54,0.9989,0.9931,19030
0.55,0.9989,0.9931,19030
0.56,0.9989,0.9931,19030
0.57,0.9989,0.9931,19030
0.58,0.9989,0.9931,19030
0.59,0.9989,0.9931,19030
0.6,0.9989,0.9931,19030
0.61,0.9989,0.9931,19030
0.62,0.9989,0.9931,19030
0.63,0.9989,0.9931,19030
0.64,0.9989,0.9927,20030
0.65,0.9989,0.992,22030
0.66,0.9989,0.992,22030
0.67,0.9989,0.992,22030
0.68,0.9989,0.992,22030
0.69,0.9989,0.992,22030
0.7,0.9989,0.992,22030
0.71,0.9989,0.992,22030
0.72,0.9989,0.992,22030
0.73,0.9989,0.992,22030
0.74,0.9989,0.992,22030
0.75,0.9989,0.992,22030
0.76,0.9989,0.9782,60030
0.77,0.9989,0.9782,60030
0.78,0.9989,0.9782,60030
0.79,0.9989,0.9775,62030
0.8,0.9989,0.9768,64030
0.81,0.9989,0.9757,67030
0.82,0.9989,0.9611,107030
0.83,0.9989,0.9611,107030
0.84,0.9989,0.9608,108030
0.85,0.9989,0.9608,108030
0.86,0.9989,0.9608,108030
0.87,0.9989,0.9608,108030
0.88,0.9989,0.9608,108030
0.89,0.9989,0.9608,108030
0.9,0.9989,0.9608,108030
0.91,0.9992,0.9321,187020
0.92,0.9992,0.931,190020
0.93,0.9992,0.9306,191020
0.94,0.9992,0.9299,193020
0.95,0.9992,0.9129,240020
0.96,1.0,0.784,595000
0.97,1.0,0.7829,598000
0.98,1.0,0.7825,599000
0.99,1.0,0.7821,600000
1.0,1.0,0.6028,1094000
